;Link;BibtexID;ResponsiblePerson;Title;StudyType;Dataset;Domain of tests [other];DataPyramid;DatasetFeatures;Coupled/Decoupled;GroundTruthType;RecommendationType;GroupSizes;Baselines;GroupConstruction;GroupDuration;EvaluationDimensions;ReproducibleCode;ReproducibleData;ReproducibleGroups;ReproducibleEvalProtocol;Notes;ParsedDataset;DatasetHighLevel;ParsedDatasetHighLevel;ParsedBaselines;EvaluationDimensionsHighLevel;ParsedDomain;ParsedGroupConstruction;ParsedGroupConstructionHighLevel;ParsedGroupSizes;bib_text;bib_ID;bib_title;bib_authors;bib_year;bib_venue;bib_venue_long;bib_venue_type;bib_doi;bib_url;bib_publisher
1;https://www.sciencedirect.com/science/article/pii/S0950705120304706;;LP;A novel group recommender system based on members’ influence and leader impact;offline;ml100k;movies;No_groups;;Coupled;Individual;One-session;5-15;item-based,grec-oc,grouprem;similar;Ephemeral;relevance(mae,rmse,ratioofratingsabovethreshold);Algorithm only;Data;GenerationProcedure;Problems:unclear ground truth;;['ml100k'];ml100k;['ml100k'];['item-based', 'grec-oc', 'grouprem'];['relevance'];['movies'];['similar'];['similar'];[10.0];" @article{Barzegar_Nozari_2020, title={A novel group recommender system based on members’ influence and leader impact}, volume={205}, ISSN={0950-7051}, url={http://dx.doi.org/10.1016/j.knosys.2020.106296}, DOI={10.1016/j.knosys.2020.106296}, journal={Knowledge-Based Systems}, publisher={Elsevier BV}, author={Barzegar Nozari, Reza and Koohi, Hamidreza}, year={2020}, month=oct, pages={106296} }
";Barzegar_Nozari_2020;A novel group recommender system based on members’ influence and leader impact;['Barzegar Nozari, Reza', 'Koohi, Hamidreza'];2020;Knowledge-Based Systems;;article;10.1016/j.knosys.2020.106296;http://dx.doi.org/10.1016/j.knosys.2020.106296;Elsevier BV
2;https://www.sciencedirect.com/science/article/pii/S0167923616300756;;LP;Member contribution-based group recommender system;offline;ml1m,ml100k,jester;movies,humor[tourism];No_groups;;Mixture or hybrid;Individual;One-session;5-30;item-based,proprietary;random;Ephemeral;relevance(ndcg@k,f1);Algorithm only;Data;GenerationProcedure;;;['ml1m', 'ml100k', 'jester'];ml1m,ml100k,jester;['ml1m', 'ml100k', 'other'];['item-based', '-'];['relevance'];['movies', 'humor[tourism]'];['random'];['random'];[18.0];" @article{Wang_2016, title={Member contribution-based group recommender system}, volume={87}, ISSN={0167-9236}, url={http://dx.doi.org/10.1016/j.dss.2016.05.002}, DOI={10.1016/j.dss.2016.05.002}, journal={Decision Support Systems}, publisher={Elsevier BV}, author={Wang, Wei and Zhang, Guangquan and Lu, Jie}, year={2016}, month=jul, pages={80–93} }
";Wang_2016;Member contribution-based group recommender system;['Wang, Wei', 'Zhang, Guangquan', 'Lu, Jie'];2016;Decision Support Systems;;article;10.1016/j.dss.2016.05.002;http://dx.doi.org/10.1016/j.dss.2016.05.002;Elsevier BV
3;https://www.sciencedirect.com/science/article/pii/S0957417421008587;;LP;Content-based group recommender systems: A general taxonomy and further improvements;offline;ml100k,hetrec;movies;No_groups;;Coupled;Individual;One-session;3-5;item-based;similarwithsharedtest;Ephemeral;relevance(offullagreement=>sortoffairness,precision,ndcg);Algorithm only;Data;GenerationProcedure;;;['ml100k', 'hetrec'];ml100k,hetrec;['ml100k', 'camra2011'];['item-based'];['relevance'];['movies'];['similarwithsharedtest'];['similar'];[4.0];" @article{P_rez_Almaguer_2021, title={Content-based group recommender systems: A general taxonomy and further improvements}, volume={184}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2021.115444}, DOI={10.1016/j.eswa.2021.115444}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Pérez-Almaguer, Yilena and Yera, Raciel and Alzahrani, Ahmad A. and Martínez, Luis}, year={2021}, month=dec, pages={115444} }
";P_rez_Almaguer_2021;Content-based group recommender systems: A general taxonomy and further improvements;['Pérez-Almaguer, Yilena', 'Yera, Raciel', 'Alzahrani, Ahmad A.', 'Martínez, Luis'];2021;Expert Systems with Applications;;article;10.1016/j.eswa.2021.115444;http://dx.doi.org/10.1016/j.eswa.2021.115444;Elsevier BV
4;https://www.sciencedirect.com/science/article/pii/S0306457315001211;;LP;Personalized hybrid recommendation for group of users: Top-N multimedia recommender;offline;ml10m;movies;No_groups;;Coupled;Individual;One-session;2-4;-;similarwithsharedtest;Ephemeral;relevance(offullagreement=>sortoffairness,precision@k);Algorithm only;Data;GenerationProcedure;;;['ml10m'];ml10m;['ml10m'];['-'];['relevance'];['movies'];['similarwithsharedtest'];['similar'];[3.0];" @article{Ka_k_2016, title={Personalized hybrid recommendation for group of users: Top-N multimedia recommender}, volume={52}, ISSN={0306-4573}, url={http://dx.doi.org/10.1016/j.ipm.2015.10.001}, DOI={10.1016/j.ipm.2015.10.001}, number={3}, journal={Information Processing &amp; Management}, publisher={Elsevier BV}, author={Kaššák, Ondrej and Kompan, Michal and Bieliková, Mária}, year={2016}, month=may, pages={459–477} }
";Ka_k_2016;Personalized hybrid recommendation for group of users: Top-N multimedia recommender;['Kaššák, Ondrej', 'Kompan, Michal', 'Bieliková, Mária'];2016;"Information Processing &amp; Management";;article;10.1016/j.ipm.2015.10.001;http://dx.doi.org/10.1016/j.ipm.2015.10.001;Elsevier BV
6;https://ieeexplore.ieee.org/abstract/document/7919222;;LP;Opinion Dynamics-Based Group Recommender Systems;offline;ml100k,ml1m;movies;No_groups;;Coupled;Individual;One-session;1-10;-;random;Ephemeral;relevance(mae,rmse);Algorithm only;Data;GenerationProcedure;;;['ml100k', 'ml1m'];ml100k,ml1m;['ml100k', 'ml1m'];['-'];['relevance'];['movies'];['random'];['random'];[6.0];" @article{Castro_2018, title={Opinion Dynamics-Based Group Recommender Systems}, volume={48}, ISSN={2168-2232}, url={http://dx.doi.org/10.1109/tsmc.2017.2695158}, DOI={10.1109/tsmc.2017.2695158}, number={12}, journal={IEEE Transactions on Systems, Man, and Cybernetics: Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Castro, Jorge and Lu, Jie and Zhang, Guangquan and Dong, Yucheng and Martinez, Luis}, year={2018}, month=dec, pages={2394–2406} }
";Castro_2018;Opinion Dynamics-Based Group Recommender Systems;['Castro, Jorge', 'Lu, Jie', 'Zhang, Guangquan', 'Dong, Yucheng', 'Martinez, Luis'];2018;IEEE Transactions on Systems, Man, and Cybernetics: Systems;;article;10.1109/tsmc.2017.2695158;http://dx.doi.org/10.1109/tsmc.2017.2695158;IEEE
8;https://dl.acm.org/doi/10.1145/3297280.3297442;;LP;Top-N group recommendations with fairness;offline;ml1m;movies;No_groups;;Decoupled;Individual;One-session;2-8;item-based,spg,epg,grf,gvar;random,similar;Ephemeral;relevance,fairness;Algorithm only;Data;GenerationProcedure;;;['ml1m'];ml1m;['ml1m'];['item-based', 'spgreedy', 'efgreedy', 'grf', 'greedyvar'];['relevance', 'fairness'];['movies'];['random', 'similar'];['random', 'similar'];[5.0];" @inproceedings{Sacharidis_2019, series={SAC ’19}, title={Top-N group recommendations with fairness}, url={http://dx.doi.org/10.1145/3297280.3297442}, DOI={10.1145/3297280.3297442}, booktitle={Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing}, publisher={ACM}, author={Sacharidis, Dimitris}, year={2019}, month=apr, collection={SAC ’19} }
";Sacharidis_2019;Top-N group recommendations with fairness;['Sacharidis, Dimitris'];2019;SAC;Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing;inproceedings;10.1145/3297280.3297442;http://dx.doi.org/10.1145/3297280.3297442;ACM
10;https://link.springer.com/article/10.1007/s10115-017-1082-9;;LP;Recommending packages with validity constraints to groups of users;offline;yelp,movielens?;travel,movies;No_groups;;Decoupled;Individual;One-session;1-5;com;similar,dissimilar;Ephemeral;relevance,fairness;Algorithm only;Problems: unspecified MovieLens version;GenerationProcedure;;;['yelp', 'movielens?'];yelp,movielens?;['yelp', 'other'];['com'];['relevance', 'fairness'];['travel', 'movies'];['similar', 'dissimilar'];['similar', 'divergent'];[3.0];" @article{Qi_2017, title={Recommending packages with validity constraints to groups of users}, volume={54}, ISSN={0219-3116}, url={http://dx.doi.org/10.1007/s10115-017-1082-9}, DOI={10.1007/s10115-017-1082-9}, number={2}, journal={Knowledge and Information Systems}, publisher={Springer Science and Business Media LLC}, author={Qi, Shuyao and Mamoulis, Nikos and Pitoura, Evaggelia and Tsaparas, Panayiotis}, year={2017}, month=jul, pages={345–374} }
";Qi_2017;Recommending packages with validity constraints to groups of users;['Qi, Shuyao', 'Mamoulis, Nikos', 'Pitoura, Evaggelia', 'Tsaparas, Panayiotis'];2017;Knowledge and Information Systems;;article;10.1007/s10115-017-1082-9;http://dx.doi.org/10.1007/s10115-017-1082-9;Springer
12;https://dl.acm.org/doi/abs/10.1145/3038912.3052612;;LP;Fairness in Package-to-Group Recommendations;offline;yelp;travel;No_groups;;Decoupled;Individual;One-session;4-16;-;dissimilar;Ephemeral;relevance,fairness;Algorithm only;Data;GenerationProcedure;;;['yelp'];yelp;['yelp'];['-'];['relevance', 'fairness'];['travel'];['dissimilar'];['divergent'];[10.0];" @inproceedings{Serbos_2017, series={WWW ’17}, title={Fairness in Package-to-Group Recommendations}, url={http://dx.doi.org/10.1145/3038912.3052612}, DOI={10.1145/3038912.3052612}, booktitle={Proceedings of the 26th International Conference on World Wide Web}, publisher={International World Wide Web Conferences Steering Committee}, author={Serbos, Dimitris and Qi, Shuyao and Mamoulis, Nikos and Pitoura, Evaggelia and Tsaparas, Panayiotis}, year={2017}, month=apr, collection={WWW ’17} }
";Serbos_2017;Fairness in Package-to-Group Recommendations;['Serbos, Dimitris', 'Qi, Shuyao', 'Mamoulis, Nikos', 'Pitoura, Evaggelia', 'Tsaparas, Panayiotis'];2017;WWW;Proceedings of the 26th International Conference on World Wide Web;inproceedings;10.1145/3038912.3052612;http://dx.doi.org/10.1145/3038912.3052612;International World Wide Web Conferences Steering Committee
14;https://dl.acm.org/doi/pdf/10.1145/3511808.3557330;;AD;GBERT: Pre-training User representations for Ephemeral Group Recommendation;offline;yelp,weeplaces,douban;pois;GroupDecisions;;Coupled;Group;One-session;;item-based,agree,mosan,game,kgag,groupim;organic;Ephemeral;relevance(recall@k,ndcg@k);Algorithm only;Yelp and Douban datasets not available;Groups/GenerationProcedure;Links to weeplaces: https://www.yongliu.org/datasets/;;['yelp', 'weeplaces', 'douban'];yelp,weeplaces,douban;['yelp', 'weeplaces', 'douban'];['item-based', 'agree', 'mosan', 'game', 'kgag', 'groupim'];['relevance'];['pois'];['organic'];['organic'];[];"@inproceedings{10.1145/3511808.3557330,
author = {Zhang, Song and Zheng, Nan and Wang, Danli},
title = {GBERT: Pre-Training User Representations for Ephemeral Group Recommendation},
year = {2022},
isbn = {9781450392365},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3511808.3557330},
doi = {10.1145/3511808.3557330},
abstract = {Due to the prevalence of group activities on social networks, group recommendations have received an increasing number of attentions. Most group recommendation methods concentrated on dealing with persistent groups, while little attention has paid to ephemeral groups. Ephemeral groups are formed ad-hoc for one-time activities, and therefore they suffer severely from data sparsity and cold-start problems. To deal with such problems, we propose a pre-training and fine-tuning method called GBERT for improved group recommendations, which employs BERT to enhance the expressivity and capture group-specific preferences of members. In the pre-training stage, GBERT employs three pre-training tasks to alleviate data sparsity and cold-start problem, and learn better user representations. In the fine-tuning stage, an influence-based regulation objective is designed to regulate user and group representations by allocating weights according to each member's influence. Extensive experiments on three public datasets demonstrate its superiority over the state-of-the-art methods for ephemeral group recommendations.},
booktitle = {Proceedings of the 31st ACM International Conference on Information \& Knowledge Management},
pages = {2631–2639},
numpages = {9},
keywords = {pre-training, user preference, representation learning, neural networks, group recommendation},
location = {Atlanta, GA, USA},
series = {CIKM '22}
}";10.1145/3511808.3557330;GBERT: Pre-Training User Representations for Ephemeral Group Recommendation;['Zhang, Song', 'Zheng, Nan', 'Wang, Danli'];2022;CIKM;Proceedings of the 31st ACM International Conference on Information \& Knowledge Management;inproceedings;10.1145/3511808.3557330;https://doi.org/10.1145/3511808.3557330;ACM
15;https://www.sciencedirect.com/science/article/pii/S0020025522011100;;AD;Dynamically aggregating individuals’ social influence and interest evolution for group recommendations;offline;camra2011,mafengwo;movies,venues(pois);GroupDecisions;;Coupled;Group;One-session;;item-based,popularity,pit,com,agree,soagree,sigr,groupsa,game;organic;Permanent;relevance(hr,ndcg);Algorithm only;Datasets not available;Groups;;;['camra2011', 'mafengwo'];camra2011,mafengwo;['camra2011', 'mafengwo'];['item-based', 'popularity', 'pit', 'com', 'agree', 'soagree', 'sigr', 'groupsa', 'game'];['relevance'];['movies', 'venues(pois)'];['organic'];['organic'];[];" @article{Leng_2022, title={Dynamically aggregating individuals’ social influence and interest evolution for group recommendations}, volume={614}, ISSN={0020-0255}, url={http://dx.doi.org/10.1016/j.ins.2022.09.058}, DOI={10.1016/j.ins.2022.09.058}, journal={Information Sciences}, publisher={Elsevier BV}, author={Leng, Youfang and Yu, Li and Niu, Xi}, year={2022}, month=oct, pages={223–239} }
";Leng_2022;Dynamically aggregating individuals’ social influence and interest evolution for group recommendations;['Leng, Youfang', 'Yu, Li', 'Niu, Xi'];2022;Information Sciences;;article;10.1016/j.ins.2022.09.058;http://dx.doi.org/10.1016/j.ins.2022.09.058;Elsevier BV
